Provincias; 0 a 11 meses;1 a 4 anios;5 a 9 anios;10 a 14 anios; 15 a 19 anios;20 a 49 anios;50 a 64 anios;65 o mas
Azuay;12;17;39;54;133;2483;773;583
Bolivar;0;5;8;18;36;826;239;181
Canar;4;3;9;16;32;577;163;142
Carchi;1;8;21;43;70;908;272;160
Chimborazo;1;5;5;15;20;1028;368;327
Cotopaxi;4;12;16;30;56;1631;562;365
El Oro;7;29;42;73;119;2159;769;704
Esmeraldas;2;15;25;62;104;1977;752;498
Galapagos;0;0;0;3;4;84;15;3
Guayas;28;56;99;153;300;10631;4525;2620
Imbabura;13;6;30;58;86;1340;469;317
Loja;9;20;30;81;105;2223;627;448
Los Rios;7;14;22;23;52;1686;678;562
Manabi;13;21;34;72;156;4248;1756;1434
Morona Santiago;3;4;16;45;92;1479;345;221
Napo;2;10;13;26;27;686;154;113
Orellana;4;5;18;27;46;1093;214;99
Pastaza;7;29;44;53;86;1087;276;159
Pichincha;54;84;136;209;380;12511;4771;2799
Santa Elena;4;2;2;1;10;560;340;290
Santo Domingo de los Tsachilas;6;17;30;56;129;2740;725;520
Sucumbios;21;18;35;30;68;1237;303;181
Tungurahua;5;8;21;28;62;1897;653;439
Zamora Chinchipe;0;0;8;18;38;708;173;133
