Barrios,Parroquias,Shape_Leng,Cod,Shape_Le_1,Shape_Area,Point_Coun,SUM_Fiebre,SUM_Tos,SUM_Fatiga,SUM_olfato,SUM_gusto,SUM_Flema,SUM_Difres,SUM_Dolcab,SUM_Dolgar,SUM_Vomito,SUM_Conges,SUM_Diarre
Guasmo,GUAYAQUIL,20087.0265758,"0",20087.0265758,12485853.3387,"17",3,2,4,3,2,5,3,4,5,1,6,2
Garay,GUAYAQUIL,6581.61842426,"1",6581.61842426,2279371.23043,"11",2,2,2,5,1,2,1,1,2,0,2,2
Esteros,GUAYAQUIL,8911.06668492,"2",8911.06668492,2704443.04198,"21",4,1,4,5,4,5,3,5,4,0,6,2
Ayacucho,GUAYAQUIL,7728.41514637,"3",7728.41514637,2663635.94181,"17",4,5,6,5,5,1,2,4,6,0,5,4
Trinitaria,GUAYAQUIL,10425.1495889,"4",10425.1495889,5017083.11853,"10",3,2,3,3,3,2,2,3,1,0,3,1
Letamendi,GUAYAQUIL,9482.28717612,"5",9482.28717612,3478951.2797,"17",2,3,3,5,3,1,1,6,4,0,4,3
Garcia Moreno,GUAYAQUIL,7080.43602694,"6",7080.43602694,2131781.00589,"11",3,7,4,3,4,3,3,4,3,1,1,2
Batallon,GUAYAQUIL,15110.8703862,"7",15110.8703862,5157541.13809,"11",4,3,5,3,4,4,2,7,3,1,1,3
Pradera,GUAYAQUIL,16160.1524215,"8",16160.1524215,4904971.47284,"19",1,2,4,4,3,3,3,4,4,0,5,2
Veintinueve,GUAYAQUIL,9336.97854093,"9",9336.97854093,2735501.26716,"6",2,1,2,2,1,2,1,2,1,0,2,1
Febres Cordero,GUAYAQUIL,5631.89527122,"10",5631.89527122,1056496.12145,"6",0,1,2,0,0,0,1,3,3,0,0,2
Cisne 2,GUAYAQUIL,10842.8050044,"11",10842.8050044,3424965.16704,"3",1,1,1,1,0,1,0,2,1,0,1,0
Duran_Urb,ELOY ALFARO (DURAN),67624.4937256,"12",67624.4937256,96116158.0789,"26",3,3,7,3,2,4,1,7,6,0,5,7
Isla Santay,ELOY ALFARO (DURAN),31913.9141672,"13",31913.9141672,21479888.1386,"0",0,0,0,0,0,0,0,0,0,0,0,0
Olmedo-San Alejo,,3247.24068415,"14",3247.24068415,622194.341365,"2",1,1,1,1,1,1,0,1,0,0,0,1
Bolivar-Sagrario,,2636.76988995,"15",2636.76988995,392467.688726,"3",0,0,0,1,0,0,0,1,1,0,0,1
Rocafuerte,,3657.99909009,"16",3657.99909009,725630.802251,"0",0,0,0,0,0,0,0,0,0,0,0,0
Sucre,,3322.85160443,"17",3322.85160443,688272.607401,"0",0,0,0,0,0,0,0,0,0,0,0,0
Urdaneta,Urdaneta,5111.89649794,"18",5111.89649794,1316627.71605,"3",0,0,0,0,0,0,0,0,0,0,0,1
Carbo-Concepción,Carbo-Concepción,3762.66195776,"19",3762.66195776,639535.356673,"4",1,1,1,1,0,0,0,1,1,0,1,2
Roca,Roca,2763.15697993,"20",2763.15697993,431144.024528,"3",1,1,0,0,0,1,0,0,1,0,1,0
Las Peñas,Tarqui,1514.35047976,"21",1514.35047976,127062.309154,"0",0,0,0,0,0,0,0,0,0,0,0,0
Cerro del Cármen,Tarqui,3534.87635075,"22",3534.87635075,661695.38657,"2",1,0,0,1,1,0,0,1,0,0,1,0
Puerto Santa Ana,Tarqui,1843.42424552,"23",1843.42424552,68563.2367249,"0",0,0,0,0,0,0,0,0,0,0,0,0
La Atarazana,Tarqui,5706.18676551,"24",5706.18676551,1636992.47417,"7",1,0,2,0,0,2,0,1,1,1,2,0
9 de Octubre Oeste,Tarqui,5338.01984196,"25",5338.01984196,1270407.64343,"6",1,1,2,0,0,1,0,1,1,1,1,1
Los Samanes,Tarqui,6004.3321614,"26",6004.3321614,1769986.22055,"13",1,2,2,1,0,1,2,1,3,0,1,0
El Condor,Tarqui,6054.0276423,"27",6054.0276423,1624854.49255,"14",4,3,2,3,2,2,0,5,1,0,1,4
Alborada,Tarqui,12690.409066,"28",12690.409066,3344428.13276,"49",11,10,14,12,11,13,6,17,14,1,11,9
Zona Industrial,Tarqui,4089.18766275,"29",4089.18766275,1022416.62101,"1",0,0,0,0,0,0,0,0,0,0,0,0
Los Sauces,Tarqui,10741.4307624,"30",10741.4307624,3160800.4817,"26",4,6,5,5,4,3,3,10,5,0,4,6
Guayacanes,Tarqui,6363.88291569,"31",6363.88291569,1453972.32873,"22",5,6,7,6,5,6,4,11,9,1,8,5
Interagua,Tarqui,3402.29902115,"32",3402.29902115,621332.177839,"0",0,0,0,0,0,0,0,0,0,0,0,0
Brisas del río,Tarqui,1753.62414948,"33",1753.62414948,178135.728536,"0",0,0,0,0,0,0,0,0,0,0,0,0
Acuarela,Tarqui,3309.75902111,"34",3309.75902111,407222.371314,"3",1,0,1,1,0,0,1,1,1,0,1,0
Cooperativa Juan Pablo,Tarqui,2578.44904492,"35",2578.44904492,283569.386144,"0",0,0,0,0,0,0,0,0,0,0,0,0
Terminal Terrestre,Tarqui,3377.11523662,"36",3377.11523662,602313.237083,"0",0,0,0,0,0,0,0,0,0,0,0,0
Cdla. IETEL,Tarqui,2113.53262794,"37",2113.53262794,199042.012077,"0",0,0,0,0,0,0,0,0,0,0,0,0
Cdla. Garzota,Tarqui,5619.33584064,"38",5619.33584064,1262107.5046,"9",0,1,1,0,0,1,0,0,0,0,1,0
Cdla. Vernaza Norte,Tarqui,2109.01005836,"39",2109.01005836,274320.847499,"2",0,1,1,1,0,0,0,1,1,0,1,0
Cdla. Simón Bolivar,Tarqui,1983.59755034,"40",1983.59755034,248890.773611,"4",1,1,1,1,1,0,1,0,1,0,1,0
Aeropuerto,Tarqui,9462.50314344,"41",9462.50314344,2841569.97445,"1",1,0,0,1,0,0,0,1,1,0,0,1
Base Naval Norte,Tarqui,2647.96826386,"42",2647.96826386,368677.081182,"0",0,0,0,0,0,0,0,0,0,0,0,0
Cdla. Río Guayas,Tarqui,2532.61773898,"43",2532.61773898,355299.461702,"1",0,0,0,0,0,0,0,0,0,0,0,0
La FAE,Tarqui,2616.23546845,"44",2616.23546845,383537.784843,"1",0,0,0,0,0,1,0,1,0,0,1,0
Kennedy,Tarqui,11569.7370395,"45",11569.7370395,3737833.61513,"6",0,0,0,0,0,1,0,1,1,0,1,0
Urbanor,Tarqui,3946.96036714,"46",3946.96036714,897486.263436,"4",1,1,1,1,0,0,0,1,2,0,1,0
Martha Bucaram de Roldós,Tarqui,3745.43903968,"47",3745.43903968,620963.379489,"1",0,0,0,1,0,0,0,1,1,0,1,0
Cdla. Adace,Tarqui,2739.7711515,"48",2739.7711515,299469.363443,"0",0,0,0,0,0,0,0,0,0,0,0,0
Urdenor,Tarqui,5017.16983659,"49",5017.16983659,594521.569539,"3",0,0,0,0,0,0,0,0,0,0,0,0
Mucho Lote,Tarqui,9010.99166773,"50",9010.99166773,2033933.18474,"9",1,3,1,2,2,4,1,3,3,0,1,1
Mucho Lote 2,Tarqui,7323.13805131,"51",7323.13805131,2060670.53742,"13",2,4,5,4,3,1,2,4,3,0,0,3
Orquídeas,Tarqui,11158.313347,"52",11158.313347,4997798.2754,"6",0,0,0,0,0,1,0,1,0,0,0,0
Los Vergeles,Tarqui,6518.64656376,"53",6518.64656376,2217203.3674,"3",0,0,1,1,1,1,0,1,0,0,1,1
Juan Montalvo,Tarqui,8447.55756219,"54",8447.55756219,3821828.56268,"6",0,2,4,3,3,2,0,4,3,0,2,3
Los Álamos,Tarqui,1360.32360139,"55",1360.32360139,118479.206651,"0",0,0,0,0,0,0,0,0,0,0,0,0
Urdesa,Tarqui,9902.34667378,"56",9902.34667378,3241214.76903,"16",3,5,4,2,2,1,3,2,4,0,1,4
Bellavista,Tarqui,9717.11494818,"57",9717.11494818,4567873.02845,"8",1,1,2,2,2,1,0,2,3,0,1,0
Miraflores,Tarqui,2534.6294532,"58",2534.6294532,342806.95751,"1",0,0,0,0,0,0,0,0,0,0,0,0
El Paraíso,Tarqui,2553.13992153,"59",2553.13992153,394898.641239,"2",1,2,1,1,1,0,1,1,1,0,1,0
