ZONA;PROVINCIA DEFUNCION ;CANTON DEFUNCION                                                                                    ;PARROQUIA DEFUNCION                                                                                 ;FECHA DEFUNCIÓN;MES DEFUNCION;DIA DEFUNCION
ZONA 3;CHIMBORAZO;ALAUSI;ALAUSI;1/1/20;enero;01
ZONA 8;GUAYAS;ALFREDO BAQUERIZO MORENO (JUJAN);ALFREDO BAQUERIZO MORENO (JUJAN);1/1/20;enero;01
ZONA 3;TUNGURAHUA;AMBATO;LA MERCED;1/1/20;enero;01
ZONA 3;TUNGURAHUA;AMBATO;LA MERCED;1/1/20;enero;01
ZONA 3;TUNGURAHUA;AMBATO;HUACHI CHICO;1/1/20;enero;01
ZONA 3;TUNGURAHUA;AMBATO;LA MATRIZ;1/1/20;enero;01
ZONA 3;TUNGURAHUA;AMBATO;LA MERCED;1/1/20;enero;01
ZONA 3;TUNGURAHUA;AMBATO;SANTA ROSA;1/1/20;enero;01
ZONA 3;TUNGURAHUA;AMBATO;HUACHI CHICO;1/1/20;enero;01
ZONA 3;TUNGURAHUA;AMBATO;ATOCHA FICOA;1/1/20;enero;01
ZONA 3;TUNGURAHUA;AMBATO;LA MATRIZ;1/1/20;enero;01
ZONA 3;TUNGURAHUA;AMBATO;IZAMBA;1/1/20;enero;01
ZONA 3;TUNGURAHUA;AMBATO;HUACHI LORETO;1/1/20;enero;01
ZONA 3;TUNGURAHUA;AMBATO;JUAN BENIGNO VELA;1/1/20;enero;01
ZONA 2;PASTAZA;ARAJUNO;CURARAY;1/1/20;enero;01
ZONA 2;NAPO;ARCHIDONA;COTUNDO;1/1/20;enero;01
ZONA 2;NAPO;ARCHIDONA;COTUNDO;1/1/20;enero;01
ZONA 7;EL ORO;ARENILLAS;ARENILLAS;1/1/20;enero;01
ZONA 6;CAÑAR;AZOGUES;AZOGUES;1/1/20;enero;01
ZONA 6;CAÑAR;AZOGUES;AZOGUES;1/1/20;enero;01
ZONA 6;CAÑAR;AZOGUES;GUAPAN;1/1/20;enero;01
ZONA 6;CAÑAR;AZOGUES;AZOGUES;1/1/20;enero;01
ZONA 6;CAÑAR;AZOGUES;GUAPAN;1/1/20;enero;01
ZONA 6;CAÑAR;AZOGUES;BORRERO;1/1/20;enero;01
ZONA 5;LOS RIOS;BABAHOYO;CLEMENTE BAQUERIZO;1/1/20;enero;01
ZONA 5;LOS RIOS;BABAHOYO;PIMOCHA;1/1/20;enero;01
ZONA 5;LOS RIOS;BABAHOYO;CLEMENTE BAQUERIZO;1/1/20;enero;01
ZONA 8;GUAYAS;BALZAR;BALZAR;1/1/20;enero;01
ZONA 3;TUNGURAHUA;BAÑOS DE AGUA SANTA;BAÑOS DE AGUA SANTA;1/1/20;enero;01
ZONA 7;LOJA;CALVAS;CARIAMANGA;1/1/20;enero;01
ZONA 7;LOJA;CATAMAYO;SAN JOSE;1/1/20;enero;01
ZONA 9;PICHINCHA;CAYAMBE;JUAN MONTALVO;1/1/20;enero;01
ZONA 9;PICHINCHA;CAYAMBE;CAYAMBE;1/1/20;enero;01
ZONA 3;CHIMBORAZO;CHAMBO;CHAMBO;1/1/20;enero;01
ZONA 4;MANABI;CHONE;SANTA RITA;1/1/20;enero;01
ZONA 3;CHIMBORAZO;COLTA;SANTIAGO DE QUITO;1/1/20;enero;01
ZONA 1;IMBABURA;COTACACHI;SAGRARIO;1/1/20;enero;01
ZONA 1;IMBABURA;COTACACHI;SAGRARIO;1/1/20;enero;01
ZONA 1;IMBABURA;COTACACHI;APUELA;1/1/20;enero;01
ZONA 6;AZUAY;CUENCA;HUAYNACAPAC;1/1/20;enero;01
ZONA 6;AZUAY;CUENCA;VICTORIA DEL PORTETE;1/1/20;enero;01
ZONA 6;AZUAY;CUENCA;SAN SEBASTIAN;1/1/20;enero;01
ZONA 6;AZUAY;CUENCA;SUCRE;1/1/20;enero;01
ZONA 6;AZUAY;CUENCA;EL BATAN;1/1/20;enero;01
ZONA 6;AZUAY;CUENCA;HUAYNACAPAC;1/1/20;enero;01
ZONA 6;AZUAY;CUENCA;NULTI;1/1/20;enero;01
ZONA 6;AZUAY;CUENCA;HUAYNACAPAC;1/1/20;enero;01
ZONA 6;AZUAY;CUENCA;MONAY;1/1/20;enero;01
ZONA 6;AZUAY;CUENCA;EL BATAN;1/1/20;enero;01
ZONA 8;GUAYAS;DAULE;DAULE;1/1/20;enero;01
ZONA 8;GUAYAS;DAULE;EMILIANO CAICEDO MARCOS;1/1/20;enero;01
ZONA 8;GUAYAS;DAULE;JUAN BAUTISTA AGUIRRE;1/1/20;enero;01
ZONA 8;GUAYAS;DAULE;LIMONAL;1/1/20;enero;01
ZONA 8;GUAYAS;DAULE;LA AURORA;1/1/20;enero;01
ZONA 8;GUAYAS;DURAN;ELOY ALFARO DURAN;1/1/20;enero;01
ZONA 8;GUAYAS;DURAN;EL RECREO;1/1/20;enero;01
ZONA 8;GUAYAS;DURAN;ELOY ALFARO DURAN;1/1/20;enero;01
ZONA 8;GUAYAS;DURAN;ELOY ALFARO DURAN;1/1/20;enero;01
ZONA 7;EL ORO;EL GUABO;TENDALES;1/1/20;enero;01
ZONA 8;GUAYAS;EL TRIUNFO;EL TRIUNFO;1/1/20;enero;01
ZONA 1;ESMERALDAS;ELOY ALFARO;BORBON;1/1/20;enero;01
ZONA 1;ESMERALDAS;ESMERALDAS;5 DE AGOSTO;1/1/20;enero;01
ZONA 1;ESMERALDAS;ESMERALDAS;5 DE AGOSTO;1/1/20;enero;01
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;1/1/20;enero;01
ZONA 1;ESMERALDAS;ESMERALDAS;SIMON PLATA TORRES;1/1/20;enero;01
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;1/1/20;enero;01
ZONA 1;ESMERALDAS;ESMERALDAS;SIMON PLATA TORRES;1/1/20;enero;01
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;1/1/20;enero;01
ZONA 4;MANABI;FLAVIO ALFARO;FLAVIO ALFARO;1/1/20;enero;01
ZONA 2;ORELLANA;FRANCISCO DE ORELLANA;EL COCA;1/1/20;enero;01
ZONA 8;GUAYAS;GENERAL VILLAMIL (PLAYAS);GENERAL VILLAMIL (PLAYAS);1/1/20;enero;01
ZONA 6;AZUAY;GIRON;GIRON;1/1/20;enero;01
ZONA 6;AZUAY;GUALACEO;GUALACEO;1/1/20;enero;01
ZONA 6;AZUAY;GUALACEO;REMIGIO CRESPO TORAL;1/1/20;enero;01
ZONA 6;AZUAY;GUALACEO;GUALACEO;1/1/20;enero;01
ZONA 3;CHIMBORAZO;GUAMOTE;GUAMOTE;1/1/20;enero;01
ZONA 3;BOLIVAR;GUARANDA;SAN LORENZO;1/1/20;enero;01
ZONA 3;BOLIVAR;GUARANDA;GUANUJO;1/1/20;enero;01
ZONA 8;GUAYAS;GUAYAQUIL;XIMENA;1/1/20;enero;01
ZONA 8;GUAYAS;GUAYAQUIL;FEBRES CORDERO;1/1/20;enero;01
ZONA 8;GUAYAS;GUAYAQUIL;TARQUI;1/1/20;enero;01
ZONA 8;GUAYAS;GUAYAQUIL;FEBRES CORDERO;1/1/20;enero;01
ZONA 8;GUAYAS;GUAYAQUIL;TARQUI;1/1/20;enero;01
ZONA 8;GUAYAS;GUAYAQUIL;TARQUI;1/1/20;enero;01
ZONA 8;GUAYAS;GUAYAQUIL;CARBO (CONCEPCION);1/1/20;enero;01
ZONA 8;GUAYAS;GUAYAQUIL;TARQUI;1/1/20;enero;01
