Provincias;De 0 a 11 meses;De 1 a 4 anios;De 5 a 9 anios;De 10 a 14 anios;De 15 a 19 anios;De 20 a 49 anios;De 50 a 64 anios;De mas de 65 anios
Azuay;0;0;1;0;0;7;19;84
Bolivar;0;0;0;0;0;5;15;39
Canar;0;0;0;0;0;6;18;39
Carchi;0;0;0;0;0;9;7;22
Chimborazo;0;0;0;0;0;35;93;174
Cotopaxi;0;0;0;0;0;24;91;119
El Oro;0;0;0;0;0;43;137;280
Esmeraldas;0;0;0;1;1;22;74;131
Galapagos;0;0;0;0;0;0;1;1
Guayas;4;2;1;3;6;360;1043;1848
Imbabura;0;0;0;0;0;12;23;53
Loja;0;0;0;0;0;15;32;120
Los Rios;0;0;3;0;0;53;160;289
Manabi;2;1;1;0;1;140;473;1050
Morona Santiago;1;0;0;0;0;1;6;10
Napo;0;0;0;0;0;10;15;33
Orellana;0;0;0;0;0;14;8;29
Pastaza;1;0;0;0;0;5;13;33
Pichincha;1;1;1;0;2;122;312;625
Santa Elena;0;1;0;0;0;48;204;359
Santo Domingo de los Tsachilas;0;0;0;0;0;47;107;240
Sucumbios;1;1;0;0;0;9;22;40
Tungurahua;1;1;0;0;1;51;105;229
Zamora Chinchipe;0;0;0;0;0;4;12;24
