"";"item";"sc1";"sc2";"Campodeconocimiento";"Dffclt";"Dscrmn";"ProbSeleccAzar";"AlphaSiSustrae";"PropAciertos";"clusters.km";"Q";"Definición Operacional"
"136";"EAES302113";-0,0152357075504416;-0,231633668570051;"Lengua y Literatura";0,932390287838685;0,860113251357949;0,309606146576403;0,854886130076487;0,340909090909091;5;"Q3";"Valora los textos más representativos de la literatura ecuatoriana: siglos XIX a XXI, en función a sus aportes en la construcción de una cultura diversa y plural"
"129";"EAES302103";0,301426971782402;-0,287706012696397;"Lengua y Literatura";0,615661964122393;0,860113251357949;0,370624412184832;0,852947044428818;0,397727272727273;4;"Q3";"Selecciona críticamente los elementos o recursos del discurso oral en textos cotidianos y no cotidianos"
"6";"EAES301725";0,0973607321090459;-0,40089137784408;"Lengua y Literatura";0,847867008290031;0,808354167890575;0,335062308333559;0,85712983286764;0,357664233576642;5;"Q2";"Reconoce las transformaciones de la cultura escrita en la era digital (usos del lenguaje escrito, formas de lectura y escritura)."
"81";"EAES301907";1,21253915048521;-0,254225448665701;"Lengua y Literatura";-0,245550258292381;0,801989608888929;0,549073697659179;0,86595781449357;0,551948051948052;4;"Q2";"Valora los textos más representativos de la literatura ecuatoriana: siglos XIX a XXI, en función a sus aportes en la construcción de una cultura diversa y plural"
"24";"EAES301748";0,748636053323792;-0,325179089558899;"Lengua y Literatura";0,188509796540674;0,860113251357949;0,459553626620911;0,852023260965333;0,477272727272727;4;"Q3";"Selecciona críticamente los elementos o recursos del discurso oral en textos cotidianos y no cotidianos"
"123";"EAES302093";1,50680260418409;0,781662913022877;"Lengua y Literatura";-0,458397708160253;0,904924006185907;0,602241883283373;0,8919671406632;0,607709750566893;3;"Q4";"Analiza los significados connotativos del discurso."
"90";"EAES302046";-0,401557857093884;-0,219833265307349;"Lengua y Literatura";1,34375582128063;0,860113251357949;0,23943452805314;0,854945969833176;0,272727272727273;5;"Q3";"Reconoce la aplicación de argumentos y contraargumentos cuya intención es persuadir."
"124";"EAES302094";0,145564204341586;0,481668114077901;"Lengua y Literatura";0,783077781750787;0,876522303051486;0,334837698548707;0,882230313796711;0,360189573459716;5;"Q4";"Infiere el contenido implícito de un texto oral."
"134";"EAES302111";-1,12448176356317;-0,364328662384836;"Lengua y Literatura";2,28397914192187;0,832849824254441;0,129858366557012;0,853356582841004;0,15;2;"Q3";"Reconoce párrafos sobre diferentes temas de la cotidianidad y académicos escritos con coherencia, cohesión y precisión."
"118";"EAES302084";1,15445415149485;-0,472026279859688;"Lengua y Literatura";-0,197725376220888;0,808354167890575;0,539873184714746;0,855572946970451;0,545012165450122;4;"Q2";"Valora los textos más representativos de la literatura ecuatoriana: siglos XIX a XXI, en función a sus aportes en la construcción de una cultura diversa y plural"
