"";"Reactivo";"Campo de conocimiento";"Dificultad";"Discriminación";"Prob. Acertar al azar";"Prop. Aciertos";"Definición Operacional";"Cuartil de Discriminación"
"17";"EAES301480";"Matemática";1,42264484893445;0,904924006185907;0,216295674877469;0,253968253968254;"Emplea técnicas de factorización para la descomposición de expresiones algebraicas.";"Q4"
"56";"EAES301536";"Matemática";2,07691410732117;0,801989608888929;0,159003199270067;0,181818181818182;"Determina el dominio, sus ceros  y el recorrido de una función real.";"Q2"
"115";"EAES302143";"Matemática";0,961708876720123;0,832849824254441;0,309820402109865;0,33;"Identifica si dos rectas son paralelas o perpendiculares.";"Q3"
"10";"EAES301471";"Matemática";1,32582862008559;0,801989608888929;0,256679177490947;0,281385281385281;"Reconoce las leyes de la potenciación o radicación en R.";"Q2"
"80";"EAES301568";"Matemática";1,71847193106443;0,808354167890575;0,199546053130039;0,223844282238443;"Aplica propiedades de los logaritmos en ecuaciones.";"Q2"
"85";"EAES301796";"Matemática";1,20239528174585;0,876522303051486;0,258471860038865;0,286729857819905;"Identifica si dos rectas son paralelas o perpendiculares.";"Q4"
"28";"EAES301495";"Matemática";0,17377760667409;0,904924006185907;0,460766935215082;0,485260770975057;"Resuelve problemas de ecuaciones de  primer grado con una incógnita en R.";"Q4"
"11";"EAES301472";"Matemática";2,23284888343021;0,876522303051486;0,123776698449737;0,146919431279621;"Reconoce las leyes de la potenciación o radicación en R.";"Q4"
"77";"EAES301565";"Matemática";0,175023555324624;0,832849824254441;0,463622306882755;0,47;"Aplica propiedades de los logaritmos en ecuaciones.";"Q3"
"105";"EAES302133";"Matemática";1,02606508503645;1,17912667105979;0,229725697994111;0,272727272727273;"Interpreta gráficos estadísticos de un conjunto de datos a partir de las medidas de tendencia central y dispersión con datos no agrupados.";"Q4"
"52";"EAES301531";"Matemática";1,02749198340466;0,84289961203942;0,296072170070901;0,318777292576419;"Determina el dominio, sus ceros  y el recorrido de una función real.";"Q3"
"98";"EAES301948";"Matemática";0,665797687405603;0,808354167890575;0,368606329295107;0,389294403892944;"Identifica si dos rectas son paralelas o perpendiculares.";"Q2"
"75";"EAES301561";"Matemática";0,580414954609458;0,876522303051486;0,375487385316211;0,398104265402844;"Identifica gráficamente una de las siguientes propiedades de una función trigonométrica dada su gráfica: monotonía, periodicidad, paridad.";"Q4"
"21";"EAES301487";"Matemática";-0,294101596964211;0,824278623521482;0,560310342610789;0,566502463054187;"Emplea técnicas de factorización para la descomposición de expresiones algebraicas.";"Q2"
"4";"EAES301463";"Matemática";2,03379080055401;0,84289961203942;0,152609212837605;0,174672489082969;"Reconoce las leyes de la potenciación o radicación en R.";"Q3"
"108";"EAES302136";"Matemática";0,511072004674226;0,84289961203942;0,393939518478766;0,410480349344978;"Interpreta gráficos estadísticos de un conjunto de datos a partir de las medidas de tendencia central y dispersión con datos no agrupados.";"Q3"
"63";"EAES301545";"Matemática";0,775643999806824;0,904924006185907;0,3313913571879;0,36734693877551;"Determina los ceros, la monotonía, máximos y mínimos, la paridad de una función cuadrática a través de la parábola que le representa.";"Q4"
"118";"EAES302150";"Matemática";0,553553271213937;0,860113251357949;0,383169101953375;0,409090909090909;"Aplica las propiedades de orden de los números reales para resolver inecuaciones de primer grado con una incógnita.";"Q3"
"521";"EAES301860";"Lengua y Literatura";-0,644309577157647;0,876522303051486;0,637551280844412;0,630331753554502;"Selecciona un vocabulario preciso para expresar matices en función de producir determinados efectos en los lectores.";"Q4"
"19";"EAES301741";"Lengua y Literatura";1,42448787003056;0,808354167890575;0,240216904700814;0,265206812652068;"Analiza las causas y las consecuencias de la diglosia con relación a las lenguas originarias en el ámbito educativo, la identidad, derechos colectivos y la vida cotidiana.";"Q2"
"120";"EAES302099";"Lengua y Literatura";1,28958888732589;1,17912667105979;0,179374853800644;0,222222222222222;"Selecciona críticamente los elementos o recursos del discurso oral en textos cotidianos y no cotidianos";"Q4"
"110";"EAES302083";"Lengua y Literatura";-0,482981208686175;0,904924006185907;0,607558572704867;0,612244897959184;"Valora los textos más representativos de la literatura ecuatoriana: siglos XIX a XXI, en función a sus aportes en la construcción de una cultura diversa y plural";"Q4"
"3";"EAES301721";"Lengua y Literatura";-0,661378665676655;0,801989608888929;0,629580789181388;0,623376623376623;"Reconoce las transformaciones de la cultura escrita en la era digital (usos del lenguaje escrito, formas de lectura y escritura).";"Q2"
"135";"EAES302146";"Lengua y Literatura";-0,177183984139327;0,84289961203942;0,537267832281473;0,539301310043668;"Analiza los significados connotativos del discurso.";"Q3"
"50";"EAES301855";"Lengua y Literatura";-0,377731986021246;0,824278623521482;0,577216308776625;0,58128078817734;"Reconoce párrafos sobre diferentes temas de la cotidianidad y académicos escritos con coherencia, cohesión y precisión.";"Q2"
"2";"EAES301720";"Lengua y Literatura";-0,370226699412632;0,876522303051486;0,58042345590761;0,580568720379147;"Reconoce las transformaciones de la cultura escrita en la era digital (usos del lenguaje escrito, formas de lectura y escritura).";"Q4"
"90";"EAES302052";"Lengua y Literatura";0,812483721831832;0,84289961203942;0,335181428915184;0,35589519650655;"Identifica la idea principal de un texto argumentativo.";"Q3"
