"";"X";"Reactivo";"Campo.de.conocimiento";"Dificultad";"Discriminación";"Prob..Acertar.al.azar";"Prop..Aciertos";"Definición.Operacional";"Cuartil.de.Discriminación"
"49";58;"EAES301540";"Matemática";0,421656837071392;0,824278623521482;0,413973580306031;0,435960591133005;"Determina el dominio, sus ceros  y el recorrido de una función real.";"Q2"
"50";27;"EAES301494";"Matemática";1,8009276107561;0,84289961203942;0,179756043763669;0,203056768558952;"Resuelve problemas de ecuaciones de  primer grado con una incógnita en R.";"Q3"
"91";17;"EAES301480";"Matemática";1,42264484893445;0,904924006185907;0,216295674877469;0,253968253968254;"Emplea técnicas de factorización para la descomposición de expresiones algebraicas.";"Q4"
"7";50;"EAES301528";"Matemática";0,65322443949244;0,824278623521482;0,368550798843108;0,394088669950739;"Resuelve sistemas de ecuaciones lineales de 2x2 o 3x3 aplicando cualquier método.";"Q2"
"20";94;"EAES301944";"Matemática";0,728029072724057;0,904924006185907;0,341006757806737;0,376417233560091;"Aplica las propiedades de orden de los números reales para resolver inecuaciones de primer grado con una incógnita.";"Q4"
"24";8;"EAES301468";"Matemática";2,16059016464399;0,808354167890575;0,148486404493493;0,170316301703163;"Reconoce las leyes de la potenciación o radicación en R.";"Q2"
"51";119;"EAES302151";"Matemática";1,54138997953515;0,832849824254441;0,216913182750106;0,24;"Aplica las propiedades de orden de los números reales para resolver inecuaciones de primer grado con una incógnita.";"Q3"
"53";62;"EAES301544";"Matemática";1,17115849366808;0,808354167890575;0,279546777520021;0,304136253041363;"Determina los ceros, la monotonía, máximos y mínimos, la paridad de una función cuadrática a través de la parábola que le representa.";"Q2"
"16";57;"EAES301537";"Matemática";2,08022024312112;0,876522303051486;0,139031255075595;0,163507109004739;"Determina el dominio, sus ceros  y el recorrido de una función real.";"Q4"
"83";53;"EAES301532";"Matemática";1,05093558754035;0,808354167890575;0,299531845602226;0,32360097323601;"Determina el dominio, sus ceros  y el recorrido de una función real.";"Q2"
