ZONA_INSTITUCION;DISTRITO_INSTITUCI;CIRCUITO_INSTITUCI;PROVINCIA_INSTITUCION;CANTON_INSTITUCION;PARROQUIA_INSTITUCION;AMIE;INSTITUCION;SOSTENIMIENTO_INSTITUCION;REGIMEN_INSTITUCI;ESTADO_INSTITUCION
3    ;18D01;18D01C01_02_03_06;TUNGURAHUA;AMBATO;AMBATO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;18H00137;UNIDAD EDUCATIVA GRAL ELOY ALFARO DELGADO;FISCAL;SIERRA;ACTIVO
3    ;18D01;18D01C01_02_03_06;TUNGURAHUA;AMBATO;AMBATO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;18H00138;UNIDAD EDUCATIVA BOLIVAR;FISCAL;SIERRA;ACTIVO
3    ;18D01;18D01C01_02_03_06;TUNGURAHUA;AMBATO;MATRIZ;18H00140;ESCUELA DE EDUCACION BASICA CENTRO ESCOLAR ;PARTICULAR;SIERRA;ACTIVO
3    ;18D01;18D01C01_02_03_06;TUNGURAHUA;AMBATO;MATRIZ;18H00141;UNIDAD EDUCATIVA RODRIGUEZ ALBORNOZ;PARTICULAR;SIERRA;ACTIVO
3    ;18D01;18D01C01_02_03_06;TUNGURAHUA;AMBATO;MATRIZ;18H00144;UNIDAD EDUCATIVA LEON BECERRA;PARTICULAR;SIERRA;ACTIVO
3    ;18D02;18D02C01_05_06;TUNGURAHUA;AMBATO;AMBATO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;18H00145;ESCUELA DE EDUCACION BASICA ALFONSO TROYA;FISCAL;SIERRA;ACTIVO
3    ;18D02;18D02C01_05_06;TUNGURAHUA;AMBATO;AMBATO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;18H00146;UNIDAD EDUCATIVA LA GRAN MURALLA;FISCAL;SIERRA;ACTIVO
3    ;18D01;18D01C01_02_03_06;TUNGURAHUA;AMBATO;SAN FRANCISCO;18H00154;Unidad Educativa La Providencia;PARTICULAR;SIERRA;ACTIVO
3    ;18D01;18D01C01_02_03_06;TUNGURAHUA;AMBATO;AMBATO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;18H00155;UNIDAD EDUCATIVA PCEI JUAN LEÓN MERA;FISCAL;SIERRA;ACTIVO
3    ;18D01;18D01C01_02_03_06;TUNGURAHUA;AMBATO;AMBATO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;18H00156;ESCUELA DE EDUCACIÓN BÁSICA JUAN BAUTISTA  ;FISCOMISIONAL;SIERRA;ACTIVO
3    ;18D01;18D01C01_02_03_06;TUNGURAHUA;AMBATO;AMBATO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;18H00157;UNIDAD EDUCATIVA JUAN MONTALVO;FISCAL;SIERRA;ACTIVO
3    ;18D01;18D01C01_02_03_06;TUNGURAHUA;AMBATO;SAN FRANCISCO;18H00158;UNIDAD EDUCATIVA PCEI REPÚBLICA DE ARGENTINA;PARTICULAR;SIERRA;ACTIVO
3    ;18D01;18D01C01_02_03_06;TUNGURAHUA;AMBATO;MATRIZ;18H00160;UNIDAD EDUCATIVA ADVENTISTA AMBATO;PARTICULAR;SIERRA;ACTIVO
3    ;18D01;18D01C01_02_03_06;TUNGURAHUA;AMBATO;MATRIZ;18H00161;ESCUELA DE EDUCACION BASICA LA GRANJA;PARTICULAR;SIERRA;ACTIVO
3    ;18D01;18D01C04_08;TUNGURAHUA;AMBATO;AMBATILLO;18H00162;UNIDAD EDUCATIVA JOSE JOAQUIN OLMEDO;FISCAL;SIERRA;ACTIVO
3    ;18D01;18D01C10;TUNGURAHUA;AMBATO;ATAHUALPA (CHISALATA);18H00168;ESCUELA DE EDUCACION BASICA LOS NOGALES;PARTICULAR;SIERRA;ACTIVO
3    ;18D01;18D01C10;TUNGURAHUA;AMBATO;ATAHUALPA (CHISALATA);18H00169;ESCUELA DE EDUCACION BASICA ERNESTO BUCHELI;FISCAL;SIERRA;ACTIVO
3    ;18D01;18D01C01_02_03_06;TUNGURAHUA;AMBATO;AMBATO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;18H00143;UNIDAD EDUCATIVA CARMEN BARONA;PARTICULAR;SIERRA;ACTIVO
3    ;18D01;18D01C10;TUNGURAHUA;AMBATO;ATAHUALPA (CHISALATA);18H00171;UNIDAD EDUCATIVA ALEMÁN;PARTICULAR;SIERRA;ACTIVO
3    ;18D01;18D01C10;TUNGURAHUA;AMBATO;ATAHUALPA (CHISALATA);18H00176;UNIDAD EDUCATIVA CÉSAR AUGUSTO SALAZAR CHÁVEZ;FISCAL;SIERRA;ACTIVO
3    ;18D01;18D01C10;TUNGURAHUA;AMBATO;AUGUSTO N. MARTÍNEZ (MUNDUGLEO);18H00179;UNIDAD EDUCATIVA AUGUSTO NICOLAS MARTINEZ;FISCAL;SIERRA;ACTIVO
3    ;18D01;18D01C10;TUNGURAHUA;AMBATO;AUGUSTO N. MARTÍNEZ (MUNDUGLEO);18H00182;ESCUELA DE EDUCACION BASICA MACARA;FISCAL;SIERRA;ACTIVO
3    ;18D01;18D01C10;TUNGURAHUA;AMBATO;AUGUSTO N. MARTÍNEZ (MUNDUGLEO);18B00052;ESCUELA DE EDUCACION BASICA NEPTALI SANCHO ;FISCAL;SIERRA;ACTIVO
3    ;18D01;18D01C10;TUNGURAHUA;AMBATO;CONSTANTINO FERNÁNDEZ (CAB. EN CULLITAHUA);18H00189;UNIDAD EDUCATIVA HONORATO VÁSQUEZ;FISCAL;SIERRA;ACTIVO
3    ;18D02;18D02C01_05_06;TUNGURAHUA;AMBATO;AMBATO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;18H00193;ESCUELA DE EDUCACION BASICA DR.ALONSO CASTILLO;FISCAL;SIERRA;ACTIVO
3    ;18D02;18D02C12;TUNGURAHUA;AMBATO;HUACHI GRANDE;18H00195;UNIDAD EDUCATIVA HONDURAS;FISCAL;SIERRA;ACTIVO
7    ;11D01;11D01C01;LOJA;LOJA;VILCABAMBA  (VICTORIA);11H01900;ESCUELA DE EDUCACION BASICA PARTICULAR LA ;PARTICULAR;SIERRA;ACTIVO
9    ;17D07;17D07C01_06;PICHINCHA;QUITO;QUITO DISTRITO METROPOLITANO, CABECERA CANTONAL, CAPITAL ;17H00442;CENTRO DE EDUCACION INICIAL PEKE GENIOS;FISCAL;SIERRA;ACTIVO
1    ;21D02;21D02C06_b;SUCUMBIOS;LAGO AGRIO;EL ENO;21H00254;NUEVA LOJA;FISCAL;SIERRA;ACTIVO
1    ;21D03;21D03C01_a;SUCUMBIOS;CUYABENO;TARAPOA , CABECERA CANTONAL;21H00766;UNIDAD EDUCATIVA DR CESAR BORJA LAVAYEN;FISCAL;SIERRA;ACTIVO
1    ;21D03;21D03C01_b;SUCUMBIOS;CUYABENO;TARAPOA , CABECERA CANTONAL;21H00769;ESCUELA DE EDUCACIÓN BÁSICA POETA CATALINA ;FISCAL;SIERRA;ACTIVO
1    ;21D03;21D03C01_b;SUCUMBIOS;CUYABENO;TARAPOA , CABECERA CANTONAL;21H00782;ESCUELA DE EDUCACIÓN BÁSICA HERMANA MARIA CURIE;FISCAL;SIERRA;ACTIVO
1    ;21D03;21D03C01_b;SUCUMBIOS;CUYABENO;TARAPOA , CABECERA CANTONAL;21H00784;ESCUELA DE EDUCACIÓN BÁSICA ESPAÑA;FISCAL;SIERRA;ACTIVO
1    ;21D03;21D03C01_a;SUCUMBIOS;CUYABENO;AGUAS NEGRAS;21H00786;GENERAL MIGUEL ITURRALDE;FISCAL;SIERRA;ACTIVO
1    ;21D03;21D03C01_a;SUCUMBIOS;CUYABENO;AGUAS NEGRAS;21H00787;UNIDAD EDUCATIVA RIO QUININDE;FISCAL;SIERRA;ACTIVO
1    ;21D03;21D03C01_a;SUCUMBIOS;CUYABENO;AGUAS NEGRAS;21H00789;ESCUELA DE EDUCACIÓN BÁSICA HUAYNA CAPAC;FISCAL;SIERRA;ACTIVO
1    ;21D03;21D03C03_a;SUCUMBIOS;PUTUMAYO;SANTA ELENA;21H00800;ESCUELA DE EDUCACIÓN BÁSICA JUAN SALINAS;FISCAL;SIERRA;ACTIVO
1    ;21D02;21D02C05_a;SUCUMBIOS;LAGO AGRIO;JAMBELÍ;21H00802;MANUELA ESPEJO;FISCAL;SIERRA;ACTIVO
1    ;21D02;21D02C05_a;SUCUMBIOS;LAGO AGRIO;JAMBELÍ;21H00803;EDUARDO KIGMAN;FISCAL;SIERRA;ACTIVO
1    ;21D02;21D02C08;SUCUMBIOS;LAGO AGRIO;GENERAL FARFÁN;21H00805;ARQUIMIDES;FISCAL;SIERRA;ACTIVO
1    ;21D02;21D02C01;SUCUMBIOS;LAGO AGRIO;NUEVA LOJA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;21H00806;LAGO AGRIO AMAZONICO;PARTICULAR;SIERRA;ACTIVO
