"";"Subset";"Año";"Mes";"Valor ajustado";"Valor real";"% variacion"
"1";NA;2014;"Jan";NA;14573;NA
"2";NA;2014;"Feb";NA;16737;NA
"3";NA;2014;"Mar";NA;17878;NA
"4";NA;2014;"Apr";NA;19474;NA
"5";NA;2014;"May";NA;16751;NA
"6";NA;2014;"Jun";NA;14829;NA
"7";NA;2014;"Jul";NA;16247;NA
"8";NA;2014;"Aug";NA;15800;NA
"9";NA;2014;"Sep";NA;20350;NA
"10";NA;2014;"Oct";NA;19873;NA
"11";NA;2014;"Nov";NA;25824;NA
"12";NA;2014;"Dec";NA;35942;NA
"13";NA;2015;"Jan";NA;25582;NA
"14";NA;2015;"Feb";NA;25035;NA
"15";NA;2015;"Mar";NA;26155;NA
"16";NA;2015;"Apr";NA;16454;NA
"17";NA;2015;"May";NA;15169;NA
"18";NA;2015;"Jun";NA;15749;NA
"19";NA;2015;"Jul";NA;15065;NA
"20";NA;2015;"Aug";NA;19405;NA
"21";NA;2015;"Sep";NA;20903;NA
"22";NA;2015;"Oct";NA;23380;NA
"23";NA;2015;"Nov";NA;26276;NA
"24";NA;2015;"Dec";NA;31368;NA
"25";"Train";2016;"Jan";23459,44;22585;0,0387177330086339
"26";"Train";2016;"Feb";24335,93;23551;0,0333289456923274
"27";"Train";2016;"Mar";20404,12;19782;0,0314487918309574
"28";"Train";2016;"Apr";13368,49;13300;0,00514962406015029
"29";"Train";2016;"May";13247,89;13692;-0,0324357288927841
"30";"Train";2016;"Jun";16450,29;17170;-0,0419167152009318
"31";"Train";2016;"Jul";14085,4;12227;0,151991494234072
"32";"Train";2016;"Aug";17037,2;13228;0,287964922890838
"33";"Train";2016;"Sep";16524,34;17730;-0,0680011280315849
"34";"Train";2016;"Oct";19359,71;28972;-0,331778613834047
"35";"Train";2016;"Nov";27028,21;34925;-0,226107086614173
"36";"Train";2016;"Dec";36598,69;32466;0,127292860223003
"37";"Train";2017;"Jan";24571,5;26416;-0,0698251059963658
"38";"Train";2017;"Feb";26945,56;22398;0,203034199482097
"39";"Train";2017;"Mar";21110,28;27986;-0,245684270706782
"40";"Train";2017;"Apr";16374,35;18879;-0,132668573547328
"41";"Train";2017;"May";17691,89;16955;0,0434615157770568
"42";"Train";2017;"Jun";21282,87;16056;0,325539985052317
"43";"Train";2017;"Jul";14866,97;20384;-0,270654925431711
"44";"Train";2017;"Aug";21832,77;28622;-0,237203200335406
"45";"Train";2017;"Sep";30303,46;29084;0,041928895612708
"46";"Train";2017;"Oct";37154,82;37316;-0,00431932683031411
"47";"Train";2017;"Nov";40372,2;33848;0,192749940912314
"48";"Train";2017;"Dec";39460;23582;0,673310151810703
"49";"Train";2018;"Jan";24015,55;20573;0,167333398143197
"50";"Train";2018;"Feb";21806,07;15488;0,407933238636364
"51";"Train";2018;"Mar";18453,55;20990;-0,120840876607909
"52";"Train";2018;"Apr";12647,98;20449;-0,381486625262849
"53";"Train";2018;"May";15570,31;17720;-0,121314334085779
"54";"Train";2018;"Jun";18849,35;18785;0,0034256055363322
"55";"Train";2018;"Jul";17932,59;18645;-0,0382091713596139
"56";"Train";2018;"Aug";22494,4;25212;-0,107789941297795
"57";"Train";2018;"Sep";26150,08;32091;-0,185127294256957
"58";"Train";2018;"Oct";36765,78;48102;-0,235670450293127
"59";"Train";2018;"Nov";43206,71;41820;0,0331590148254424
"60";"Train";2018;"Dec";40280,12;35695;0,128452724471215
"61";"Train";2019;"Jan";32423,45;26040;0,245140168970814
"62";"Train";2019;"Feb";26958,96;21348;0,26283305227656
"63";"Train";2019;"Mar";27786,84;16190;0,716296479308215
"64";"Train";2019;"Apr";15800,81;21170;-0,253622579121398
"65";"Train";2019;"May";15811,21;15542;0,017321451550637
"66";"Train";2019;"Jun";17088,47;16011;0,0672956092686279
"67";"Train";2019;"Jul";15991,65;26503;-0,39660981775648
"68";"Train";2019;"Aug";26495,02;24305;0,0901057395597613
"69";"Train";2019;"Sep";28735,18;29365;-0,021447982291844
"70";"Train";2019;"Oct";37500,83;31282;0,19879898983441
"71";"Train";2019;"Nov";32244,65;36318;-0,112157883143345
"72";"Train";2019;"Dec";31450,54;37263;-0,155984756997558
"73";"Train";2020;"Jan";28217,12;24290;0,161676410045286
"74";"Train";2020;"Feb";24060,87;24568;-0,0206418918918919
"75";"Train";2020;"Mar";25107,55;22046;0,13887099700626
"76";"Train";2020;"Apr";21935,94;20918;0,0486633521369155
"77";"Train";2020;"May";16829,76;20248;-0,168818648755433
"78";"Train";2020;"Jun";19835,29;23207;-0,145288490541647
"79";"Train";2020;"Jul";24462,26;25327;-0,0341430094365698
"80";"Train";2020;"Aug";26385,91;34484;-0,234836155898388
"81";"Train";2020;"Sep";35383,99;41943;-0,156379133586057
"82";"Train";2020;"Oct";46683,95;37727;0,237414848782039
"83";"Train";2020;"Nov";43572,17;41224;0,0569612361731031
"84";"Train";2020;"Dec";39668,42;44821;-0,114959059369492
"85";"Train";2021;"Jan";31461,23;24589;0,279483915572004
"86";"Train";2021;"Feb";27184,92;23927;0,136160822501776
"87";"Train";2021;"Mar";25241,93;29007;-0,129798669286724
"88";"Train";2021;"Apr";25782,88;20927;0,232038992688871
"89";"Test";2021;"May";19775,34;21816;-0,0935396039603961
"90";"Test";2021;"Jun";21067,86;21690;-0,02868326417704
"91";"Test";2021;"Jul";23144,18;22474;0,0298202367179852
